model,EPE,EPE_180,EPE_u,EPE_v,cos_sim,spatium,G_mag_u,G_mag_v,G_mag_L2,Iu_m1,Iv_m1,I_L2_m1
RAFT_chairs_no_mirror.pth_ev,4.3580777138153115,4.310346362641749,3.045950377542493,2.453158478042349,15.763663714488576,4.139457218463495,10.074996191485786,6.659771663579628,13.495708286833809,1.8769008533386773,1.6118108623309506,2.739446608916884
RAFT_chairs_no_mirror.pth,4.105622467736103,4.105622467736103,2.8857231803755496,2.289570112713576,14.755603361942812,3.6956804364509916,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
raft-chairs-original-retrained.pth_ev,4.239136817025004,4.484055462584085,2.9630053130092096,2.40117069883281,16.194573669852716,4.036220615382568,10.074996191485786,6.659771663579628,13.495708286833809,1.5600254722941562,1.4567963319895905,2.384885964290696
raft-chairs-original-retrained.pth,4.1980384139327995,4.1980384139327995,2.9246631929047915,2.3690389120355464,15.835144594354658,3.7813050046394956,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
raft_mir_batch_8.pth_ev,4.502007156506711,4.431480579550569,3.1597437672173885,2.537395803835762,18.248200603910185,4.441330936682785,10.074996191485786,6.659771663579628,13.495708286833809,1.3945814268475651,1.323005030545389,2.136069295915357
raft_mir_batch_8.pth,4.347295998358574,4.347295998358574,3.076710979356703,2.417034930570139,17.20692153645753,4.093106458935167,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
raft_things_mir_batch5.pth_ev,2.7245571568078657,2.8379336734097467,1.9570037272797252,1.4518181013031062,11.287689430225823,2.134100502326469,10.074996191485786,6.659771663579628,13.495708286833809,0.9692915981379584,0.6599453332709591,1.3282837971944745
raft_things_mir_batch5.pth,2.7114993801678637,2.7114993801678637,1.9665528522423261,1.4219523753655947,10.973394203369258,2.0987535029306192,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
raft_things_original_param.pth_ev,2.8337945131500906,2.9437248285333775,2.0717885546157215,1.465416746552207,11.314509838161047,2.2475127201656186,10.074996191485786,6.659771663579628,13.495708286833809,1.0680460677653065,0.744065883928171,1.4669592496397745
raft_things_original_param.pth,2.802135461800008,2.802135461800008,2.0526831717258114,1.4413905062361134,10.978086853290726,2.20253453004343,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth_ev,2.80141656253197,2.7688790066713445,2.0043469733173005,1.50382732359136,11.102288551220633,2.238582594747817,10.074996191485786,6.659771663579628,13.495708286833809,1.0516826746436005,0.7513212972963864,1.4553892403397277
things_no_mir_fine_tune_RAFT_chairs_no_mirror.pth,2.6963142196215713,2.6963142196215713,1.9326033985025743,1.442338753019269,10.909489850833024,2.080351872582572,10.074996191485786,6.659771663579628,13.495708286833809,0.0,0.0,0.0
