model,EPE,EPE_u,EPE_v,cos_sim,spatium,G_mag_u,G_mag_v,G_mag_L2,Iu_m1,Iv_m1,I_L2_m1
q1,1.3404562823586166,0.9551779368529096,0.9118296578954905,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.701065387815237,0.0,0.0,0.0
q2,1.6186047666240484,1.1445418107602745,1.0734399489890785,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.701065392017364,0.0,0.0,0.0
q3,1.3404562781304121,0.955177941147238,0.9118296742588282,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.701065419778228,0.0,0.0,0.0
q4,1.6186047567650677,1.1445417972765863,1.0734399468395859,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.70106540901959,0.0,0.0,0.0
q1,1.3404562823586166,0.9551779368529096,0.9118296578954905,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.701065387815237,0.0,0.0,0.0
q2,1.6186047666240484,1.1445418107602745,1.0734399489890785,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.701065392017364,0.0,0.0,0.0
q3,1.3404562781304121,0.955177941147238,0.9118296742588282,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.701065419778228,0.0,0.0,0.0
q4,1.6186047567650677,1.1445417972765863,1.0734399468395859,74.37459994888306,2.0046869070106186,5.445475524902344,5.445475524902344,7.70106540901959,0.0,0.0,0.0
q1,1.3956205858197064,0.9389294183570892,0.9983347261985764,74.34428132247925,1.989607546910178,5.445475524902344,5.445475524902344,7.701065387815237,0.0,0.0,0.0
q2,1.3457322360891848,0.9399427103586495,0.9192233042027801,74.34428132247925,1.989607546910178,5.445475524902344,5.445475524902344,7.701065392017364,0.0,0.0,0.0
q3,1.3956205890178681,0.9389294093307108,0.9983347138660028,74.34428132247925,1.989607546910178,5.445475524902344,5.445475524902344,7.701065419778228,0.0,0.0,0.0
q4,1.3457322266064584,0.9399426953233778,0.9192233052514494,74.34428132247925,1.989607546910178,5.445475524902344,5.445475524902344,7.70106540901959,0.0,0.0,0.0
q1,1.3956205858197064,0.9389294183570892,0.9983347261985764,74.34428132247925,1.989607546910178,5.445475524902344,5.445475524902344,7.701065387815237,0.0,0.0,0.0
q2,1.3457322360891848,0.9399427103586495,0.9192233042027801,74.34428132247925,1.989607546910178,5.445475524902344,5.445475524902344,7.701065392017364,0.0,0.0,0.0
q3,1.3956205890178681,0.9389294093307108,0.9983347138660028,74.34428132247925,1.989607546910178,5.445475524902344,5.445475524902344,7.701065419778228,0.0,0.0,0.0
