quadrant,EPE,EPE_u,EPE_v,cos_sim,spatium,G_mag_u,G_mag_v,G_mag_L2,Iu_m1,Iv_m1,I_L2_m1
q1,1.0942038533836602,0.7777982441876083,0.7346183573734015,74.06426593017578,1.4686209767488763,5.445475524902344,5.445475524902344,7.701065387815237,0.0,0.0,0.0
q2,1.127346997935325,0.7902783339451999,0.7622372094970197,74.06426593017578,1.4686209767488763,5.445475524902344,5.445475524902344,7.701065392017364,0.0,0.0,0.0
q3,1.0942038627266883,0.7777982547748834,0.7346183570828289,74.06426593017578,1.4686209767488763,5.445475524902344,5.445475524902344,7.701065419778228,0.0,0.0,0.0
q4,1.1273470024615526,0.7902783364970237,0.7622372012324631,74.06426593017578,1.4686209767488763,5.445475524902344,5.445475524902344,7.70106540901959,0.0,0.0,0.0
